id,password,strength
1163,welcome144,weak
1164,baseball$x,medium
1165,letmein947,weak
1166,baseball2020x,medium
1167,purple!1,medium
1168,angX^F960pWNF,strong
1169,T2Ug!wFQo==V,strong
1170,MJVpeil#*Lm(eBptU^Ih,strong
1171,monkey180,weak
1172,password496,weak
1173,football!x,medium
1174,dragon333,weak
1175,admin235,weak
1176,computer!1,medium
1177,iloveyou890,weak
1178,letmein75,weak
1179,sunshine55,weak
1180,qUnCIoBuzcRviJ,strong
1181,admin225,weak
1182,8WUm_#g$L+S@v3,strong
1183,baseball!99,medium
1184,letmein913,weak
1185,*&Fd+3MGD90hLg,strong
1186,flower1231,medium
1187,welcome244,weak
1188,football202099,medium
1189,baseball123x,medium
1190,football12399,medium
1191,purple1231,medium
1192,computer123x,medium
1193,purple202099,medium
1194,Ow51URp0Vz(N*BdDJ,strong
1195,admin179,weak
1196,flower2020x,medium
1197,baseball!99,medium
1198,123456664,weak
1199,dragon892,weak
1200,55y&MGeCIM@JO!&,strong
1201,admin819,weak
1202,flower20201,medium
1203,gDn-fmillp-bFZ(KF4b,strong
1204,password892,weak
1205,purple_x,medium
1206,dragon351,weak
1207,purple$99,medium
1208,flower_x,medium
1209,welcome580,weak
1210,welcome175,weak
1211,baseball12399,medium
1212,lv-VmOnn1&8m,strong
1213,admin588,weak
1214,welcome378,weak
1215,monkey724,weak
1216,admin352,weak
1217,sunshine552,weak
1218,w*ELlIya4=z1Kw)=RlQ&,strong
1219,123456749,weak
1220,password142,weak
1221,football$1,medium
1222,letmein456,weak
1223,admin56,weak
1224,baseball_x,medium
1225,welcome200,weak
1226,monkey869,weak
1227,123456999,weak
1228,baseball12399,medium
1229,iloveu2020x,medium
1230,qwerty733,weak
1231,DaAxHQq^4FHm3&3F@,strong
1232,baseball!99,medium
1233,monkey343,weak
1234,dragon774,weak
1235,password419,weak
1236,computer1231,medium
1237,flower_1,medium
1238,iloveyou296,weak
1239,football$x,medium
1240,monkey757,weak
1241,password810,weak
1242,welcome307,weak
1243,jYvn&Xc6L_TBKHt0=!C,strong
1244,football$1,medium
1245,baseball$99,medium
1246,BeBW-dwWfoV6Tm,strong
1247,admin846,weak
1248,purple$99,medium
1249,flower$1,medium
1250,computer!1,medium
1251,welcome381,weak
1252,coffee$1,medium
1253,qwerty515,weak
1254,letmein814,weak
1255,#218F*ijbA0kH+N_nx4j,strong
1256,qwerty704,weak
1257,qwerty214,weak
1258,123456435,weak
1259,purple20201,medium
1260,sunshine775,weak
1261,letmein110,weak
1262,monkey607,weak
1263,123456930,weak
1264,123456308,weak
1265,purple20201,medium
1266,SpYcl4vSA#7UMf!,strong
1267,iloveu!x,medium
1268,welcome175,weak
1269,a3(*#K1oZi@=GNE5xJNL,strong
1270,welcome570,weak
1271,football$99,medium
1272,welcome467,weak
1273,computer1231,medium
1274,computer1231,medium
1275,)BaZZENZjE0=4^mBpp#,strong
1276,letmein858,weak
1277,sunshine285,weak
1278,purple_x,medium
1279,iloveyou364,weak
1280,dragon972,weak
1281,sunshine523,weak
1282,sunshine110,weak
1283,sunshine509,weak
1284,qwerty30,weak
1285,password850,weak
1286,password995,weak
1287,dragon695,weak
1288,welcome636,weak
1289,purple2020x,medium
1290,purple12399,medium
1291,sunshine502,weak
1292,iloveu$x,medium
1293,purple202099,medium
1294,DxCIcQ$x1Lk2L,strong
1295,sunshine675,weak
1296,iloveu_99,medium
1297,qwerty518,weak
1298,welcome506,weak
1299,coffee_x,medium
1300,welcome328,weak
1301,dragon46,weak
1302,admin357,weak
1303,iloveu2020x,medium
1304,123456438,weak
1305,admin421,weak
1306,letmein253,weak
1307,welcome606,weak
1308,123456889,weak
1309,admin173,weak
1310,admin38,weak
1311,iloveyou581,weak
1312,coffee$1,medium
1313,iloveu202099,medium
1314,iloveyou330,weak
1315,purple1231,medium
1316,baseball$99,medium
1317,purple$1,medium
1318,computer1231,medium
1319,123456860,weak
1320,vd+Er4g#hzf8Kp8,strong
1321,computer_99,medium
1322,monkey320,weak
1323,iloveyou257,weak
1324,coffee_1,medium
1325,$Rq_4J)OU6GRVNBll0wH,strong
1326,123456649,weak
1327,iloveyou273,weak
1328,flower!99,medium
1329,baseball1231,medium
1330,letmein28,weak
1331,welcome475,weak
1332,iloveyou432,weak
1333,football!1,medium
1334,password264,weak
1335,computer_1,medium
1336,football1231,medium
1337,123456321,weak
1338,purple202099,medium
1339,E@#rRMjYS6NLg,strong
1340,purple$99,medium
1341,flower123x,medium
1342,coffee!1,medium
1343,letmein993,weak
1344,iloveyou260,weak
1345,LC-yGZ_%)B2!,strong
1346,dragon35,weak
1347,flower2020x,medium
1348,tDW1&0OrHa_(*w),strong
1349,computer!1,medium
1350,%6Ec$!)JF@2%!!1MA,strong
1351,purple_x,medium
1352,password780,weak
1353,qwerty645,weak
1354,qwerty3,weak
1355,welcome321,weak
1356,football!1,medium
1357,purple!x,medium
1358,purple$99,medium
1359,qwerty266,weak
1360,dragon846,weak
1361,welcome203,weak
1362,admin186,weak
1363,iloveyou967,weak
1364,iloveu!1,medium
1365,XV&=p1mEGtgB)i2H*IZj,strong
1366,baseball$99,medium
1367,coffee!99,medium
1368,+vZFFlwtU&C0Iak,strong
1369,iloveyou703,weak
1370,iloveyou725,weak
1371,dragon262,weak
1372,monkey60,weak
1373,letmein482,weak
1374,aMC=Zk^dnmLz,strong
1375,123456324,weak
1376,coffee!99,medium
1377,password130,weak
1378,welcome765,weak
1379,iloveyou289,weak
1380,U5ux^x+6l#X8elrc,strong
1381,sunshine446,weak
1382,sunshine41,weak
1383,monkey496,weak
1384,123456866,weak
1385,baseball202099,medium
1386,welcome184,weak
1387,flower_99,medium
1388,flower_1,medium
1389,football_x,medium
1390,123456252,weak
1391,flower202099,medium
1392,123456403,weak
1393,123456857,weak
1394,password83,weak
1395,sunshine464,weak
1396,computer_x,medium
1397,password671,weak
1398,coffee$x,medium
1399,qdWyef-CEn_$g#,strong
1400,iloveyou291,weak
1401,flower!1,medium
1402,iloveyou753,weak
1403,computer_1,medium
1404,123456852,weak
1405,letmein501,weak
1406,iloveyou487,weak
1407,dragon433,weak
1408,iloveyou830,weak
1409,qwerty444,weak
1410,football2020x,medium
1411,sunshine692,weak
1412,qwerty953,weak
1413,monkey85,weak
1414,iloveyou81,weak
1415,w=0wsGRP*NMFJ29BS6b,strong
1416,coffee!1,medium
1417,football202099,medium
1418,x35I9z*9qf=tZGbE,strong
1419,sunshine471,weak
1420,purple_x,medium
1421,dragon832,weak
1422,0_Z9gko!0ocKls@$O,strong
1423,sunshine151,weak
1424,password119,weak
1425,qwerty756,weak
1426,coffee1231,medium
1427,pR@daV2=#4TQwLK,strong
1428,iloveu1231,medium
1429,iloveu202099,medium
1430,iloveu202099,medium
1431,^iVXIHm3JHMS0(#2J^,strong
1432,coffee123x,medium
1433,computer1231,medium
1434,computer2020x,medium
1435,qwerty204,weak
1436,sunshine103,weak
1437,coffee$1,medium
1438,password18,weak
1439,welcome365,weak
1440,baseball_1,medium
1441,computer1231,medium
1442,football_1,medium
1443,admin803,weak
1444,password788,weak
1445,&#%Thd)8_5=7U$hQ,strong
1446,baseball20201,medium
1447,315L%lB!jp_6a@,strong
1448,welcome517,weak
1449,welcome381,weak
1450,coffee$x,medium
1451,baseball_99,medium
1452,baseball12399,medium
1453,-NZ)H62NfzE6GDc(lR=,strong
1454,_F^1%2xA!&UlEW^VUHA9,strong
1455,purple!99,medium
1456,monkey342,weak
1457,qwerty532,weak
1458,qMxzWb^Pt@xGM3@t,strong
1459,football2020x,medium
1460,w4I=9+Q^VOTAv72Z2Ns,strong
1461,dragon197,weak
1462,computer1231,medium
1463,iloveyou848,weak
1464,12345663,weak
1465,qwerty487,weak
1466,123456378,weak
1467,coffee_x,medium
1468,coffee$x,medium
1469,iloveyou450,weak
1470,coffee1231,medium
1471,qwerty496,weak
1472,baseball_x,medium
1473,letmein466,weak
1474,qwerty966,weak
1475,football_99,medium
1476,admin585,weak
1477,monkey156,weak
1478,welcome383,weak
1479,sunshine28,weak
1480,baseball_99,medium
1481,welcome910,weak
1482,qwerty838,weak
1483,football2020x,medium
1484,password427,weak
1485,welcome579,weak
1486,admin800,weak
1487,dragon135,weak
1488,iloveu12399,medium
1489,baseball$1,medium
1490,flower_99,medium
1491,iloveyou347,weak
1492,flower123x,medium
1493,123456886,weak
1494,password585,weak
1495,purple$x,medium
1496,flower_1,medium
1497,dragon554,weak
1498,football_x,medium
1499,sunshine514,weak
1500,YO_up@@SgOySL,strong
1501,HF$ytihmktgxEmUyc,strong
1502,iloveyou101,weak
1503,iloveyou914,weak
1504,iloveyou964,weak
1505,football20201,medium
1506,dragon600,weak
1507,monkey770,weak
1508,football$1,medium
1509,monkey416,weak
1510,password417,weak
1511,football$x,medium
1512,sQ7xEgWp_C=7O,strong
1513,monkey462,weak
1514,sunshine984,weak
1515,computer!1,medium
1516,sunshine279,weak
1517,purple12399,medium
1518,baseball_x,medium
1519,qwerty756,weak
1520,football$1,medium
1521,123456850,weak
1522,monkey286,weak
1523,U-yZAt5Is=zITb0,strong
1524,football_99,medium
1525,password688,weak
1526,monkey916,weak
1527,coffee123x,medium
1528,123456551,weak
1529,sunshine688,weak
1530,iloveyou847,weak
1531,coffee!x,medium
1532,J)Hqbv(BgUx2r,strong
1533,admin37,weak
1534,dragon214,weak
1535,iloveyou113,weak
1536,LPYQZQejetRrN7oZ+0Ot,strong
1537,coffee202099,medium
1538,flower202099,medium
1539,iloveyou280,weak
1540,monkey477,weak
1541,monkey777,weak
1542,letmein48,weak
1543,iloveyou545,weak
1544,password401,weak
1545,123456901,weak
1546,football!x,medium
1547,123456939,weak
1548,qwerty337,weak
1549,12345628,weak
1550,password606,weak
1551,computer$1,medium
1552,letmein981,weak
1553,password841,weak
1554,letmein966,weak
1555,dragon634,weak
1556,123456640,weak
1557,12345687,weak
1558,C^07e8eUGhed,strong
1559,coffee2020x,medium
1560,baseball_x,medium
1561,coffee12399,medium
1562,iloveu_1,medium
1563,password464,weak
1564,iloveu!1,medium
1565,dragon730,weak
1566,letmein926,weak
1567,flower_99,medium
1568,sunshine742,weak
1569,baseball!1,medium
1570,football!99,medium
1571,iloveu$99,medium
1572,iloveu!1,medium
1573,dragon351,weak
1574,password530,weak
1575,flower!1,medium
1576,monkey879,weak
1577,admin200,weak
1578,7zY0=TzR_UFmI7d,strong
1579,password654,weak
1580,letmein477,weak
1581,baseball123x,medium
1582,purple$x,medium
1583,iloveyou188,weak
1584,football$1,medium
1585,password568,weak
1586,welcome450,weak
1587,dragon934,weak
1588,football20201,medium
1589,qwerty224,weak
1590,zQnb#*bZC7i)xs,strong
1591,flower!x,medium
1592,%ek(8oCCT=sdUoO8ye,strong
1593,purple!x,medium
1594,pgJYeM5XMLJyC02LuE(,strong
1595,football!1,medium
1596,$Ex^R)CPkgHASJVGJF9,strong
1597,iloveyou25,weak
1598,letmein271,weak
1599,computer202099,medium
1600,iloveu_x,medium
1601,welcome948,weak
1602,12345673,weak
1603,monkey205,weak
1604,admin256,weak
1605,welcome195,weak
1606,baseball_99,medium
1607,welcome288,weak
1608,purple12399,medium
1609,purple202099,medium
1610,purple!99,medium
1611,letmein485,weak
1612,dragon804,weak
1613,coffee12399,medium
1614,computer!99,medium
1615,flower1231,medium
1616,monkey30,weak
1617,dragon894,weak
1618,password511,weak
1619,purple$99,medium
1620,iloveyou702,weak
1621,purple_99,medium
1622,password581,weak
1623,baseball!99,medium
1624,purple_x,medium
1625,coffee1231,medium
1626,OoiRI&hhQc0Lo,strong
1627,iloveyou290,weak
1628,welcome675,weak
1629,coffee202099,medium
1630,baseball$99,medium
1631,123456132,weak
1632,coffee202099,medium
1633,jpG1KT)SM0uakeE,strong
1634,iloveu$x,medium
1635,JcgX*A#8D!#FnUGDY1h,strong
1636,football!1,medium
1637,monkey298,weak
1638,football!99,medium
1639,monkey124,weak
1640,5M7FmpdcWZJAE,strong
1641,password10,weak
1642,qwerty334,weak
1643,coffee12399,medium
1644,monkey672,weak
1645,sunshine143,weak
1646,welcome861,weak
1647,password621,weak
1648,welcome127,weak
1649,coffee!1,medium
1650,football$1,medium
1651,qwerty221,weak
1652,flower_1,medium
1653,password856,weak
1654,iloveu202099,medium
1655,coffee2020x,medium
1656,iloveyou785,weak
1657,letmein383,weak
1658,gG+zoYq^8@mmFiy,strong
1659,baseball_1,medium
1660,)jqBnEyDIf9XCfqwT=,strong
1661,monkey810,weak
1662,thyVD(6kn50=Yf,strong
1663,dragon459,weak
1664,letmein515,weak
1665,football!1,medium
1666,football$1,medium
1667,purple!x,medium
1668,qwerty383,weak
1669,letmein155,weak
1670,password243,weak
1671,4yvW5N=Xvb#zsO&Ys02,strong
1672,coffee_99,medium
1673,password66,weak
1674,-d+)jnP8pMGJm,strong
1675,iloveyou180,weak
1676,computer$x,medium
1677,letmein278,weak
1678,g_EmHM35!8bC#5(Tl3t,strong
1679,sunshine290,weak
1680,dragon492,weak
1681,qwerty732,weak
1682,qwerty938,weak
1683,password882,weak
1684,flower$99,medium
1685,iloveyou962,weak
1686,admin393,weak
1687,dragon72,weak
1688,password943,weak
1689,dragon166,weak
1690,iloveyou980,weak
1691,admin521,weak
1692,flower$x,medium
1693,iloveyou948,weak
1694,letmein248,weak
1695,admin646,weak
1696,football!99,medium
1697,flower!99,medium
1698,dragon974,weak
1699,baseball20201,medium
1700,flower12399,medium
1701,football_1,medium
1702,@tw_YDxF%3gW7A,strong
1703,letmein952,weak
1704,flower$1,medium
1705,af0NX3mC1pn-I9oen5t,strong
1706,H*iWggjecrK5au-Y7d,strong
1707,password384,weak
1708,purple$99,medium
1709,admin618,weak
1710,admin698,weak
1711,!)YCeBzhI13^kT%v1,strong
1712,computer123x,medium
1713,purple123x,medium
1714,letmein3,weak
1715,bBd9yHUEUgG((+$&3,strong
1716,letmein729,weak
1717,monkey897,weak
1718,purple_1,medium
1719,123456308,weak
1720,iloveu1231,medium
1721,KPsm)1i+c(yDv,strong
1722,flower123x,medium
1723,qwerty944,weak
1724,flower1231,medium
1725,computer!x,medium
1726,iloveu2020x,medium
1727,iloveyou669,weak
1728,iloveu1231,medium
1729,123456297,weak
1730,123456348,weak
1731,baseball2020x,medium
1732,admin976,weak
1733,password318,weak
1734,monkey194,weak
1735,coffee$99,medium
1736,purple!x,medium
1737,iloveu!1,medium
1738,monkey872,weak
1739,qwerty835,weak
1740,LITlY81Tx+j+1K!,strong
1741,iloveyou60,weak
1742,l2#)r3(6$3w9*mbDG,strong
1743,admin775,weak
1744,123456540,weak
1745,computer!x,medium
1746,hy8$e)xXRHK&p9oXB$,strong
1747,qwerty385,weak
1748,ZmeBK)iNzGl2sjExTn,strong
1749,purple202099,medium
1750,uXBjgLYMbRRu48nKWG,strong
1751,football$1,medium
1752,purple_1,medium
1753,password403,weak
1754,iloveu_99,medium
1755,dragon551,weak
1756,purple20201,medium
1757,nTnQ8jjpmQ#c=,strong
1758,computer_1,medium
1759,password254,weak
1760,monkey926,weak
1761,flower_99,medium
1762,sunshine711,weak
1763,admin620,weak
1764,baseball2020x,medium
1765,baseball20201,medium
1766,letmein980,weak
1767,monkey221,weak
1768,computer!x,medium
1769,football_99,medium
1770,qwerty409,weak
1771,welcome692,weak
1772,qwerty548,weak
1773,welcome648,weak
1774,baseball$x,medium
1775,purple_x,medium
1776,qwerty323,weak
1777,C_suOZEzg*7l8uh=q-,strong
1778,football!x,medium
1779,computer_99,medium
1780,admin717,weak
1781,computer_99,medium
1782,football!99,medium
1783,n9Z7P^ETt02XkRu*WC,strong
1784,flower_99,medium
1785,baseball12399,medium
1786,iloveu$99,medium
1787,)%9x$-Exgg3)me4QL%_G,strong
1788,flower!99,medium
1789,monkey714,weak
1790,password631,weak
1791,password731,weak
1792,monkey767,weak
1793,monkey700,weak
1794,iloveu1231,medium
1795,purple_1,medium
1796,admin859,weak
1797,admin975,weak
1798,sunshine388,weak
1799,123456346,weak
1800,@#$wKuaVD((-N^),strong
1801,eaIwiA2EaGpO&F*a6tJ,strong
1802,admin438,weak
1803,9iH@mAGB%podD4&mpKYu,strong
1804,monkey507,weak
1805,flower!99,medium
1806,purple123x,medium
1807,flower1231,medium
1808,123456811,weak
1809,qwerty352,weak
1810,purple!1,medium
1811,computer123x,medium
1812,coffee12399,medium
1813,123456779,weak
1814,dragon156,weak
1815,baseball!99,medium
1816,purple$x,medium
1817,iloveyou203,weak
1818,123456717,weak
1819,iloveu!1,medium
1820,rkc+(GUgdExWrz,strong
1821,monkey437,weak
1822,computer202099,medium
1823,admin728,weak
1824,admin916,weak
1825,password0,weak
1826,admin217,weak
1827,welcome930,weak
1828,coffee!99,medium
1829,ziYZ6jB94STsuSgiV,strong
1830,football_x,medium
1831,baseball1231,medium
1832,monkey633,weak
1833,sunshine779,weak
1834,qwerty44,weak
1835,iloveyou563,weak
1836,purple_99,medium
1837,ViHKN-8mu_w-e_o9LON,strong
1838,sunshine768,weak
1839,iloveu12399,medium
1840,baseball!1,medium
1841,letmein606,weak
1842,purple_99,medium
1843,flower_99,medium
1844,letmein303,weak
1845,iloveu20201,medium
1846,monkey243,weak
1847,qwerty964,weak
1848,u8Ws!OaATCg1P2,strong
1849,dragon301,weak
1850,password640,weak
1851,purple$1,medium
1852,computer!99,medium
1853,X$)S20)tVTpHypV$EH3G,strong
1854,sunshine95,weak
1855,sunshine189,weak
1856,baseball!x,medium
1857,qwerty663,weak
1858,welcome166,weak
1859,0okGIXE3k5ahDib@)k,strong
1860,computer!x,medium
1861,purple20201,medium
1862,purple$x,medium
1863,qwerty491,weak
1864,coffee!99,medium
1865,qwerty249,weak
1866,welcome642,weak
1867,football20201,medium
1868,football_99,medium
1869,letmein24,weak
1870,iloveyou150,weak
1871,welcome231,weak
1872,02&L+r-vfzB(gdlGzn,strong
1873,welcome639,weak
1874,computer202099,medium
1875,(92fa(lXyD27KfR-v,strong
1876,qwerty186,weak
1877,computer$99,medium
1878,iloveyou616,weak
1879,computer!x,medium
1880,FLOO!DSGR041ra+bQ-,strong
1881,*B#7kI@P(Gqr,strong
1882,football!99,medium
1883,flower12399,medium
1884,123456678,weak
1885,coffee_1,medium
1886,admin144,weak
1887,12345612,weak
1888,purple1231,medium
1889,coffee!x,medium
1890,computer12399,medium
1891,coffee202099,medium
1892,password902,weak
1893,iloveu!x,medium
1894,iloveyou852,weak
1895,sunshine567,weak
1896,computer_x,medium
1897,letmein433,weak
1898,_N=jqVqn4Q@!JxW!,strong
1899,admin662,weak
1900,welcome111,weak
1901,admin617,weak
1902,computer20201,medium
1903,monkey109,weak
1904,dragon11,weak
1905,computer!x,medium
1906,password246,weak
1907,dragon578,weak
1908,sunshine46,weak
1909,123456966,weak
1910,admin769,weak
1911,iloveyou512,weak
1912,iloveyou743,weak
1913,qwerty719,weak
1914,computer123x,medium
1915,iloveu!1,medium
1916,coffee123x,medium
1917,wlJ^h2^9X6m_,strong
1918,flower_x,medium
1919,purple$99,medium
1920,computer$99,medium
1921,coffee2020x,medium
1922,coffee!1,medium
1923,-R+hb6x$8&LIm,strong
1924,123456286,weak
1925,computer20201,medium
1926,sunshine264,weak
1927,5H()_LBvFVZHMVxg,strong
1928,sunshine269,weak
1929,VW4s!a#wmEfD,strong
1930,123456357,weak
1931,monkey921,weak
1932,football20201,medium
1933,coffee1231,medium
1934,123456324,weak
1935,dragon497,weak
1936,sunshine117,weak
1937,password558,weak
1938,sunshine149,weak
1939,computer_1,medium
1940,e98=qqb5Gtnkug%IFq,strong
1941,@h&z5mAFK0m0A0,strong
1942,password574,weak
1943,iloveu!1,medium
1944,iloveu_1,medium
1945,admin14,weak
1946,sunshine956,weak
1947,admin116,weak
1948,flower12399,medium
1949,football1231,medium
1950,flower_1,medium
1951,letmein430,weak
1952,purple!x,medium
1953,admin214,weak
1954,CBwx!jL+FA!G,strong
1955,inGnTPC#0HvV($+9h,strong
1956,iloveu1231,medium
1957,dragon949,weak
1958,flower123x,medium
1959,football$99,medium
1960,sunshine564,weak
1961,letmein876,weak
1962,123456359,weak
1963,F!14aCrv%u@8Fs&FblC,strong
1964,purple_99,medium
1965,dragon440,weak
1966,iloveyou197,weak
1967,coffee2020x,medium
1968,iloveyou745,weak
1969,admin529,weak
1970,letmein101,weak
1971,baseball_1,medium
1972,purple123x,medium
1973,myhba6lUP_Rb3=W7oXqo,strong
1974,flower12399,medium
1975,computer20201,medium
1976,flower_1,medium
1977,dragon125,weak
1978,welcome268,weak
1979,f#*ph8FKVpF^W,strong
1980,qwerty184,weak
1981,qwerty675,weak
1982,iloveu20201,medium
1983,KUPm4(ocbMl$iqyq3,strong
1984,upg1XJ9H)(tp#2_h,strong
1985,iloveu$1,medium
1986,flower12399,medium
1987,TuyiDpA&!I^-tFT%-O,strong
1988,123456184,weak
1989,coffee!99,medium
1990,letmein672,weak
1991,qwerty798,weak
1992,password326,weak
1993,flower$1,medium
1994,admin920,weak
1995,123456394,weak
1996,letmein539,weak
1997,monkey284,weak
1998,purple2020x,medium
1999,ZH9pdLdujITSrbb7Ra,strong
